;Stemming;label
0;shelaemeliana sehat iya sandwich generation;Neutral
1;film rumah swet loan recomended gusy nonton takut menang sandwich generation anak bungsu;Neutral
2;tanyakanrl teman sandwich generation hedon;Neutral
3;kabar iya kakak kakak garuda soft spoken sandwich generation baca galendion wekend kakak rae buka requestan twet;Neutral
4;film bagus kali menang huhu misuhmisuhinkeluarganya kaluna cari rumah susah sandwich generation;Positive
5;absen ayo folawers sandwich generation;Negative
6;hubung suami samasama sandwich generation narasi bikin kesal;Negative
7;sinopsis rumah swet loan hidup sandwich generation penuh juang;Neutral
8;kaluna anak bungsu cerita hubung anak hidup menangung beban keluarga alias sandwich generation film bagus sumpah sesal tonton;Positive
9;kaluna film rumah swet loan mah sandwich generation;Neutral
10;uang semingu tinggal sisa nyicil apk apa iya allah sandwich generation iya;Negative
11;moga allah lancar rezeki sandwich generation amin alahuma amin;Positive
12;ayo beli es krim sandwich generation bayar iya;Neutral
13;txtdrimedia sandwich generation gaji juta andai ngeluh;Neutral
14;alas suka hidup sandwich generation hutang orang tua bagi pikir anak investasi pikir goblok;Negative
15;kasihan stroberi generation oalah sandwich generation maksud;Negative
16;laku anak sandwich generation parenting sandwichgeneration;Neutral
17;wal betakun gas buhankm tinggal lawan orang tua sandwich generation kadang strugle lawan beda dapat lawan orang tua buhankm tangap terimakasih;Positive
18;basebuku bebas tangungan sandwich generation;Neutral
19;yhaterus semangat iya sandwich generation mudah;Positive
20;yhaterus semangat iya sandwich generation;Positive
21;yhaterus berat iya sandwich generation;Negative
22;semangat tulang pungung keluarga sandwich generation teman tema;Neutral
23;tips tabung gen sandwich generation ala kaluna rumah swet loan;Neutral
24;bamgyuca tolong bantu iya teman sandwich generation;Neutral
25;scuderical film sandwich generation versi anak bungsu;Neutral
26;peran sandwich generation anak cepat;Positive
27;widyasaput semangat iya sandwich generation;Positive
28;its sandwich generation anymore its more sandwich geprek sambel gledek dempet digeprek disambelin disamber gledek;Neutral
29;henti normalisasi sandwich generation iya pantek;Neutral
30;pikiranya pecah karir sukses tupung sandwich generation;Neutral
31;sandwich generation anak bungsu lucu ha;Positive
32;idextratime beban ongok sandwich generation;Neutral
33;ofcstoredres anjay beratresiko sandwich generation semangat;Neutral
34;tabung juta iya gaji juta frelance sandwich generation tertawa;Neutral
35;sandwich generation butuh gaji tbln;Neutral
36;nanadongren film bioskop kakak alur sandwich generation;Neutral
37;sandwich generation sedih perlahan ubah pikir hidup bermanfat keluarga sehat kerja syukur;Negative
38;sandwich generation sedih sulung single yatim jawabanya sedih sedih this punya pov sandwich generation;Negative
39;sandwich generation ngumpulin juta susah anjing;Negative
40;anak sandwich generation hidup ngekos orang tua sakau kasih uang orang tua;Negative
41;relatable sandwich generation soundtrack bikin menang tonton takut enggak kuat;Neutral
42;kaluna hebat nabung juta sandwich generation moga minimal stabil fredom tertawa;Negative
43;salmastreams almirabastari tolong ayo bahas hidup sandwich generation tenang kakak spotify premium potong;Neutral
44;hyun oh jujur eun handphone sandwich generation;Positive
45;hengkywahyu rumah swet loan hubung hidup sandwich generation ngegambarin susah generasi sandwich kalah urus;Neutral
46;sandwich generation big mac generation;Neutral
47;malas main pabji kena sandwich mentangmentang sandwich generation;Negative
48;bukansalahmu kayak sandwich generation orang tua uang pensiun rantau suruh bayar listrik lingkar orang;Negative
49;irkifauzi tanyarlfes semangat sandwich generation tertawa wkw;Neutral
50;alfor nenen ren alasanya sandwich generation;Neutral
51;mending mati anak sandwich generation;Negative
